Called number,type coverage,method name,coverage each time run,number of called Z3
3,STATEMENT,next,100.0,0
4,STATEMENT,next,100.0,0
5,STATEMENT,next,100.0,0
6,STATEMENT,next,100.0,0
7,STATEMENT,next,100.0,0
8,STATEMENT,next,100.0,0
9,STATEMENT,next,100.0,0
10,STATEMENT,next,100.0,0
1,STATEMENT,numberOfLeadingZeros,100.0,4
2,STATEMENT,numberOfLeadingZeros,100.0,4
3,STATEMENT,numberOfLeadingZeros,100.0,4
4,STATEMENT,numberOfLeadingZeros,100.0,4
5,STATEMENT,numberOfLeadingZeros,100.0,4
6,STATEMENT,numberOfLeadingZeros,100.0,4
7,STATEMENT,numberOfLeadingZeros,100.0,4
8,STATEMENT,numberOfLeadingZeros,100.0,4
9,STATEMENT,numberOfLeadingZeros,100.0,4
10,STATEMENT,numberOfLeadingZeros,100.0,4
1,STATEMENT,numberOfTrailingZeros,100.0,4
2,STATEMENT,numberOfTrailingZeros,100.0,4
3,STATEMENT,numberOfTrailingZeros,100.0,4
4,STATEMENT,numberOfTrailingZeros,100.0,4
5,STATEMENT,numberOfTrailingZeros,100.0,4
6,STATEMENT,numberOfTrailingZeros,100.0,4
7,STATEMENT,numberOfTrailingZeros,100.0,4
8,STATEMENT,numberOfTrailingZeros,100.0,4
9,STATEMENT,numberOfTrailingZeros,100.0,4
10,STATEMENT,numberOfTrailingZeros,100.0,4
1,STATEMENT,pow,80.0,1
2,STATEMENT,pow,80.0,1
3,STATEMENT,pow,80.0,1
4,STATEMENT,pow,80.0,1
5,STATEMENT,pow,80.0,1
6,STATEMENT,pow,80.0,1
7,STATEMENT,pow,80.0,1
8,STATEMENT,pow,80.0,1
9,STATEMENT,pow,80.0,1
10,STATEMENT,pow,80.0,1
1,STATEMENT,random,100.0,2
2,STATEMENT,random,100.0,2
3,STATEMENT,random,100.0,2
4,STATEMENT,random,100.0,2
5,STATEMENT,random,100.0,2
6,STATEMENT,random,100.0,2
7,STATEMENT,random,100.0,2
8,STATEMENT,random,100.0,2
9,STATEMENT,random,100.0,2
10,STATEMENT,random,100.0,2
1,STATEMENT,readBits,100.0,3
2,STATEMENT,readBits,100.0,3
3,STATEMENT,readBits,100.0,3
4,STATEMENT,readBits,100.0,3
5,STATEMENT,readBits,100.0,3
6,STATEMENT,readBits,100.0,3
7,STATEMENT,readBits,100.0,3
8,STATEMENT,readBits,100.0,3
9,STATEMENT,readBits,100.0,3
10,STATEMENT,readBits,100.0,3
1,STATEMENT,saturatedAdd,100.0,1
2,STATEMENT,saturatedAdd,100.0,1
3,STATEMENT,saturatedAdd,100.0,1
4,STATEMENT,saturatedAdd,100.0,1
5,STATEMENT,saturatedAdd,100.0,1
6,STATEMENT,saturatedAdd,100.0,1
7,STATEMENT,saturatedAdd,100.0,1
8,STATEMENT,saturatedAdd,100.0,1
9,STATEMENT,saturatedAdd,100.0,1
10,STATEMENT,saturatedAdd,100.0,1
1,STATEMENT,saturatedMultiply,85.71428571428571,3
2,STATEMENT,saturatedMultiply,85.71428571428571,3
3,STATEMENT,saturatedMultiply,57.142857142857146,3
4,STATEMENT,saturatedMultiply,85.71428571428571,3
5,STATEMENT,saturatedMultiply,57.142857142857146,3
6,STATEMENT,saturatedMultiply,85.71428571428571,3
7,STATEMENT,saturatedMultiply,85.71428571428571,3
8,STATEMENT,saturatedMultiply,85.71428571428571,3
9,STATEMENT,saturatedMultiply,85.71428571428571,3
10,STATEMENT,saturatedMultiply,57.142857142857146,3
1,STATEMENT,saturatedSubtract,100.0,1
2,STATEMENT,saturatedSubtract,100.0,1
3,STATEMENT,saturatedSubtract,100.0,1
4,STATEMENT,saturatedSubtract,100.0,1
5,STATEMENT,saturatedSubtract,100.0,1
6,STATEMENT,saturatedSubtract,100.0,1
7,STATEMENT,saturatedSubtract,100.0,1
8,STATEMENT,saturatedSubtract,100.0,1
9,STATEMENT,saturatedSubtract,100.0,1
10,STATEMENT,saturatedSubtract,100.0,1
1,STATEMENT,set32x64Bits,100.0,0
2,STATEMENT,set32x64Bits,100.0,0
3,STATEMENT,set32x64Bits,100.0,0
4,STATEMENT,set32x64Bits,100.0,0
5,STATEMENT,set32x64Bits,100.0,0
6,STATEMENT,set32x64Bits,100.0,0
7,STATEMENT,set32x64Bits,100.0,0
8,STATEMENT,set32x64Bits,100.0,0
9,STATEMENT,set32x64Bits,100.0,0
10,STATEMENT,set32x64Bits,100.0,0
1,STATEMENT,slide,22.22222222222222,0
2,STATEMENT,slide,22.22222222222222,0
3,STATEMENT,slide,22.22222222222222,0
4,STATEMENT,slide,22.22222222222222,0
5,STATEMENT,slide,22.22222222222222,0
6,STATEMENT,slide,22.22222222222222,0
7,STATEMENT,slide,22.22222222222222,0
8,STATEMENT,slide,22.22222222222222,0
9,STATEMENT,slide,22.22222222222222,0
10,STATEMENT,slide,22.22222222222222,0
1,STATEMENT,stickyRound,100.0,1
2,STATEMENT,stickyRound,100.0,1
3,STATEMENT,stickyRound,100.0,1
4,STATEMENT,stickyRound,100.0,1
5,STATEMENT,stickyRound,100.0,1
