Called number,type coverage,method name,average variable each time run,average expression each time run
2,STATEMENT,getQuaternaries,1.6667,8.8333
3,STATEMENT,getQuaternaries,1.6667,8.8333
4,STATEMENT,getQuaternaries,1.6667,8.8333
5,STATEMENT,getQuaternaries,1.6667,8.8333
6,STATEMENT,getQuaternaries,1.6667,8.8333
7,STATEMENT,getQuaternaries,1.6667,8.8333
8,STATEMENT,getQuaternaries,1.6667,8.8333
9,STATEMENT,getQuaternaries,1.6667,8.8333
10,STATEMENT,getQuaternaries,1.6667,8.8333
1,STATEMENT,getSecondariesFromOneShortCE,1,6
2,STATEMENT,getSecondariesFromOneShortCE,1,6
3,STATEMENT,getSecondariesFromOneShortCE,1,6
4,STATEMENT,getSecondariesFromOneShortCE,1,6
5,STATEMENT,getSecondariesFromOneShortCE,1,6
6,STATEMENT,getSecondariesFromOneShortCE,1,6
7,STATEMENT,getSecondariesFromOneShortCE,1,6
8,STATEMENT,getSecondariesFromOneShortCE,1,6
9,STATEMENT,getSecondariesFromOneShortCE,1,6
10,STATEMENT,getSecondariesFromOneShortCE,1,6
1,STATEMENT,getTertiaries,2.3333,10.4167
2,STATEMENT,getTertiaries,2.3333,10.4167
3,STATEMENT,getTertiaries,2.3333,10.4167
4,STATEMENT,getTertiaries,2.3333,10.4167
5,STATEMENT,getTertiaries,2.3333,10.4167
6,STATEMENT,getTertiaries,2.3333,10.4167
7,STATEMENT,getTertiaries,2.3333,10.4167
8,STATEMENT,getTertiaries,2.3333,10.4167
9,STATEMENT,getTertiaries,2.3333,10.4167
10,STATEMENT,getTertiaries,2.3333,10.4167
1,STATEMENT,highBit,1,16.75
2,STATEMENT,highBit,1,16.75
3,STATEMENT,highBit,1,16.75
4,STATEMENT,highBit,1,16.75
5,STATEMENT,highBit,1,16.75
6,STATEMENT,highBit,1,16.75
7,STATEMENT,highBit,1,16.75
8,STATEMENT,highBit,1,16.75
9,STATEMENT,highBit,1,16.75
10,STATEMENT,highBit,1,16.75
1,STATEMENT,isCompatibleBrand,1.5,9.5
2,STATEMENT,isCompatibleBrand,1.5,9.5
3,STATEMENT,isCompatibleBrand,1.5,9.5
4,STATEMENT,isCompatibleBrand,1.5,9.5
